Model,Mean Accuracy,Std Accuracy
SK-Gini,0.9704761904761904,0.03977259622442114
SK-Entropy,0.9604761904761905,0.03730124957631645
My-Gini,0.9604761904761905,0.03730124957631645
My-Entropy,0.9604761904761905,0.03730124957631645
My-Minority,0.5380952380952382,0.19674793662677487
